Title,Year,Abstract
The study of jargon used in capoeira senzala universitas brawijaya group,2013,"… Universitas Brawijaya group are and what the meanings of jargon used by Capoeira Senzala
Universitas Brawijaya … used by Capoeira Senzala Universitas Brawijaya group. The data …"
A Semiotic Study On Axe “Dark Temptation” Fragrance's TV Advertisement.,2012,"Iklan sebagai jembatan komunikasi antara “sesuatu” (pesan) dengan masyarakat. Semiotik
digunakan untuk menciptakan korelasi antara elemen-elemen dalam iklan. Peneliti …"
The implementation of the complete systematic land registration (PTSL) program in Malang Regency land office,2019,"Pendaftaran Tanah Sistematis Lengkap (PTSL) or Complete Systematic Land Registration
is a program under the Ministry of Agrarian Affairs and Spatial Planning/National Land …"
[PDF] Application of organic matter and biofertilizer to improve growth and yield of maize on soil damaged by volcanic ash of Mount Kelud in East Java,2015,"Volcanic ash from the eruption of Mount Kelud in 2014 damaged some agricultural areas
grown with maize in Malang of East Java. The purpose of this study was to elucidate the effect …"
"A comparative study on nutritional value of purple sweet potatoes from West Java and Central Java, Indonesia",2020,"This study aimed to compare the nutritional value of two local cultivars of purple sweet potatoes
from West Java and Central Java Indonesia. The proximate analysis was conducted to …"
An Analysis on Politeness Strategies Used in The Great Gatsby Movie,2017,"Penelitian ini mendiskusikan tentang strategi kesantunan yang diterapkan oleh dua karakter
utama dalam film The Great Gatsby. Kerangka teori yang digunakan dalam penelitian ini …"
University Students' Perception on the Use of Online Automated Feedback in Writing,2021,"… The participants in this study were 196 students from 2nd, 3rd, and 4th year students of
English Language Education Program of Universitas Brawijaya. The data in this study were …"
[PDF] Polytope prediction for dengue vaccine candidate based on conserved envelope glycoprotein of four serotypes of dengue virus and its antigenicity,2016,"Dengue fever reported endemic in tropical and sub-tropical country. Dengue fever caused by
dengue virus, has Envelope protein that often used for vaccine development to prevent the …"
"Soil mineralogy and chemical properties as a basis for establishing nutrient management strategies in volcanic soils of Mount Ceremai, West Java",2020,"Soil mineralogy and its effect on chemical properties of volcanic soils located in Mount
Ceremai has not been studied thoroughly. The objective of the study was to assess soil …"
[PDF] Women's Subordination in “Kafka on the Shore”.,2021,"I thank the academic staff of the Faculty of Cultural Studies for their cooperative work in
managing the system for undergraduate thesis writing and also arranging schedules for proposal …"
Translation Adjustment Found In The Englishindonesian Subtitles Of Jurassic World Movie,2016,"Di dunia ini terdapat banyak bahasa yang berbeda satu sama lain, dan salah satu cara
untuk mengerti pesan dari bahasa asing adalah dengan memindahkan pesan dari bahasa …"
Racial Prejudice And Discrimination Against African-American In The Blind Side Movie,2012,"Setiap orang pernah berprasangka dan diprasangkai. Prasangka cenderung ke arah pikiran
atau perasaan negatif dan stereotip datang dari keyakinan yang akan membuat suatu …"
An Analysis Of Connotative Meaning In The Script's Song Lyrics,2017,"Orang-orang menggunakan bahasa untuk melakukan percakapan dikehidupan sehari-hari.
Percakapan merupakan sebuah interaksi antara dua orang yang mempunyai makna pada …"
Language learning strategies among the high achievers of the 11th grade students at SMA Negeri 2 Batu,2016,"Ada beberapa faktor yang dapat mempengaruhi pembelajaran bahasa, salah satu faktor
tersebut adalah strategi pembelajaran. Penelitian ini dilakukan untuk menyelidiki penerapan …"
"[PDF] Seed bury vs broadcast in direct seeding: their effects on the germination of different woody plant species, in a degraded semi-arid area, Southern Ethiopia",2020,"Direct seeding is considered as an option for afforestation programs to rehabilitate degraded
lands. However, scant knowledge is available on the effect of seed sowing techniques on …"
Policy Change Implication Toward Integrated Wonorejo Zone as A Strategic Economic Development Zone,2014,"Integrated Wonorejo Zone is one of the development zone in Lumajang Regency with
significant goals to improve potensial condition in three aspect namely tourism, agriculture and …"
Role of cajuput waste compost against the physical quality of sandy soil,2019,"Composting is an alternative way to accelerate decomposition and maturation of residual
waste from refining leaves of cajuput to be suitably applied to the soil. The application of …"
"The Attempts of a Transsexual to Fight for the Desired Identity, as Reflected by Brandon Teena, the Main Character of Boys Don't Cry the Movie",2011,"Waria adalah kelompok dalam masyarakat yang menganggap dirinya sebagai anggota dari
jenis kelamin lain. Studi ini tentang upaya Female-To-Male (FTM) menjadi seperti laki-laki. …"
Human Resources Management Audit to Assess the Performance of the Employees at PT Samator,2015,"Sumber daya manusia adalah sumber yang paling penting untuk mewujudkan visi perusahaan
untuk mengoptimalkan potensi sumber daya manusia, manajemen yang baik diperlukan …"
A Study of American Slang Expressions and Their Word Formation Processes Found in Black Eyed Peas' Rap Songs in The Album “THE END” 2009,2012,"Dalam sebuah komunitas multilingual, ada bahasa tertentu yang dapat mengindikasikan
grup-grup atau suku-suku tertentu. Salah satunya yang banyak digunakan adalah bahasa …"
The Effects Of Childhood Trauma on Alaska Young's Personality Development Depicted in John Green's Looking for Alaska Novel.,2016,"Pengalaman yang ditemui seseorang di masa lalu, terutama pengalaman yang menyakitkan
dapat meninggalkan efek psikologis. Efeknya mungkin berubah menjadi trauma jika …"
Word Formation Processes Of Photography Jargons In Digital Camera World Magazine,2012,"Bahasa selalu berubah dan berkembang hari demi hari karena dipengaruhi oleh beberapa
faktor. Isu teknologi adalah salah satu faktor yang berperan penting dalam perkembangan …"
"The Influence of Auditor's Independence, Ethics and Professional Skepticism on Audit Quality",2019,"Profesi auditor memberikan jaminan pada efektivitas pengendalian internal atas pelaporan
laporan keuangan. Ketika laporan keuangan perusahaan diaudit oleh auditor independen …"
Therapy of Lactobacillus casei Shirota strain Fermented Milk to Rats with High-Cholesterol Diet toward Cholesterol Levels and SOD Activity,2017,"This study aimed to determine the fermented milk of Lactobacillus casei Shirota strain potential
on cholesterol levels, SOD activity, LPL enzyme activity, and cardiac histopathology. This …"
Racial Prejudice and Discrimination against Jewish in America as Reflected in School Ties Movie,2012,"Prasangka dan diskriminasi rasial terhadap ras-ras tertentu sudah terjadi sejak dulu di dunia.
Prasangka adalah suatu perasaan yang tidak berdasar pada pengalaman yang aktual …"
Logit Model Approach to Solve the Problem of Traffic Jam at the Soekarno-Hatta Bridge,2013,"… ini dimaksudkan untuk menyediakan program model baru untuk menyelesaikan kemacetan
lalu lintas yang terletak di antara jembatan Soekarno-Hatta dan Universitas Brawijaya. Ini …"
[CITATION] The Influence of Leverage and Liquidity on Dividend Policy (Empirical Study on Listed Companies in Indonesia Stock Exchange of LQ-45 in 2008-2010),2013,"… Sarjana thesis, Universitas Brawijaya. …"
[PDF] Application of organic amendment and Trichoderma sp. to control basal Sclerotium rolfsii on peanut grown on partially degraded land,2014,"An experiment involving the application of organic matters, either fresh or composted,
application of bioagent Trichoderma sp. was conducted to suppress basal stem rot caused by S. …"
A study on Figurative Language Used in Beauty Treatment Advertisements in Cita Cinta Magazine,2011,"Bahasa kiasan merupakan salah satu cara bagi manusia untuk berkomunikasi. Bahasa
kiasan biasanya digunakan dalam karya sastra seperti syair, puisi, atau lagu. Pada …"
Exploring Students' Writing Strategies In Learning English With Different Epistemic Beliefs,2019,"… Penelitian ini melibatkan 100 mahasiswa Jurusan Pendidikan Bahasa Inggris Universitas
Brawijaya yang mengikuti kelas menulis paragraf. Penelitian ini menggunakan survei untuk …"
"The Influences Of Perceived Risk, Perceived Ease Of Use, Subjective Norm, And Trust Towards Intention Of Using E-Banking.",2016,"… Sampel yang digunakan adalah 273 mahasiswa akuntansi fakultas ekonomi dan bisnis
Universitas Brawijaya yang terdaftar sebagai mahasiswa aktif tahun ajaran 2015/2016 …"
[PDF] Effect of Governance Quality and Tax Holiday on Foreign Direct Investment and Economic Growth in Indonesia,2016,"… Para dosen pada program Magister Ilmu Administrasi Publik Universitas Brawijaya atas …
materiil dalam menempuh studi Magister Ilmu Administrasi Publik Universitas Brawijaya; …"
[PDF] Coagulation and adsorption techniques for purification of the amalgamation slurry waste,2020,"Amalgamation in the processing of community gold mines may leave slurry waste with the
potential for heavy metal contamination of the environment. Technical studies for handling …"
Psychological Conflict Reflected in The Main Character of Jodi Picoult s Novel My Sister s Keeper.,2012,"Manusia tidak dapat menghindari konflik dalam hidupnya. Konflik yangbiasanya terjadi
dalam kehidupan manusia dapat menyebabkan timbulnya depresi atau kecemasan. Freud …"
An Analysis on Translation Techniques of Complex Sentences in Sir Conan Doyle's Short Story “Sherlock Holmes: The Adventure of Sussex Vampire,2010,"Pekerjaan penerjemahan berkaitan dengan dua bahasa yang berbeda dalam hal struktur
dan budaya. Perbedaan seringkali membawa kesulitan bagi penerjemah dan mempengaruhi …"
[PDF] CRITICAL DISCOURSE ANALYSIS OF EATING DISORDER:“TO THE BONE” MOVIE,2022,"… The writer would like to extend her sincere thanks to for all the lecturers and staff of English
literature, The Faculty of Cultural Studies, Universitas Brawijaya who also helped me through …"
Tourist object in Tomohon City as a basic consideration for tourism destination development in highland ecosystem,2016,"Tourism potential attraction identification is the crucial aspect in tourism destination planning
and development. Tomohon in North Sulawesi rich in term of tourism attraction, but tourism …"
Why people commit public procurement fraud? The fraud diamond view,2019,"Purpose This paper aims to discuss the factors that cause individuals to commit fraud,
especially in the public procurement context. All this time, an empirical review of public …"
